"time","equity","fundingRate","annualized","inPosition","spot","mark"
"1774814400000","101193.33240986535","0","0.008912367801885103","False","66301.98","66301.98"
"1774818000000","101193.33240986535","1.01326523236951E-07","0.003913269026414194","False","66560.94","66560.94"
"1774821600000","101193.33240986535","8.77267161894274E-07","0.003143458427404873","False","66662.31","66662.31"
"1774825200000","101193.33240986535","0.0000018156980819630815","0.004244545436683369","False","65810.97","65810.97"
"1774828800000","101193.33240986535","-5.75906732519648E-08","0.004113065468829671","False","65961.23","65961.23"
"1774832400000","101193.33240986535","8.66950802510351E-07","0.004093005723103023","False","66226.91","66226.91"
"1774836000000","101193.33240986535","4.49354637114935E-07","0.004470666515150249","False","66590.25","66590.25"
"1774839600000","101193.33240986535","0.0000016126161565821632","0.0061936099416047","False","67066.75","67066.75"
"1774843200000","101193.33240986535","0.000009110281236320748","0.016048723058009515","False","67112.68","67112.68"
"1774846800000","101193.33240986535","0.000019762761842957157","0.03746233750062479","False","67560.86","67560.86"
"1774850400000","101193.33240986535","0.000009469197719669911","0.04669173831863734","False","67436.63","67436.63"
"1774854000000","101193.33240986535","0.00000299441674424863","0.04742770576661531","False","67249.93","67249.93"
"1774857600000","101193.33240986535","0.0000015973906030664352","0.04931482291743917","False","67569.82","67569.82"
"1774861200000","101193.33240986535","6.67191349692752E-08","0.048631924872024744","False","67617.05","67617.05"
"1774864800000","101193.33240986535","0","0.048403990870341224","False","67451.03","67451.03"
"1774868400000","101193.33240986535","0","0.04697190507987509","False","67434.76","67434.76"
"1774872000000","101193.33240986535","2.73051305871594E-08","0.03705123988599283","False","67626.8","67626.8"
"1774875600000","101193.33240986535","9.32919981129017E-10","0.015514951331613258","False","67850.43","67850.43"
"1774879200000","101193.33240986535","4.60207060045005E-10","0.005137411735641801","False","67482.65","67482.65"
"1774882800000","101193.33240986535","2.69394921230937E-07","0.0021471569311721063","False","67759.21","67759.21"
"1774886400000","101193.33240986535","4.77769254323559E-07","0.0009216025539347091","False","67580.91","67580.91"
"1774890000000","101193.33240986535","3.47160833335048E-07","0.0012294826169874829","False","67319.23","67319.23"
"1774893600000","101193.33240986535","0.000005559682879561487","0.007326235640234347","False","66778.88","66778.88"
"1774897200000","101193.33240986535","0.00000648267354437817","0.014492715377036294","False","66603.58","66603.58"
"1774900800000","101193.33240986535","0.000007779407574705132","0.023153322195311604","False","66497.31","66497.31"
"1774904400000","101193.33240986535","0.000001051040888204532","0.02440316990120043","False","66602.28","66602.28"
"1774908000000","101193.33240986535","7.00858042588182E-07","0.025047976309917636","False","66760.54","66760.54"
"1774911600000","101193.33240986535","1.52289368229208E-08","0.02487135766241407","False","66735.35","66735.35"
"1774915200000","101193.33240986535","0","0.024284131044198617","False","66740.19","66740.19"
"1774918800000","101193.33240986535","1.26556656951312E-09","0.023812829125598706","False","67152.89","67152.89"
"1774922400000","101193.33240986535","0.000004593965528370227","0.02258507897294292","False","67885.9","67885.9"
"1774926000000","101193.33240986535","0.000005808864153137739","0.02168645467306736","False","67902.85","67902.85"
"1774929600000","101193.33240986535","7.74790676874388E-07","0.013977827651352887","False","67653.23","67653.23"
"1774933200000","101193.33240986535","2.91843280964271E-07","0.013161790071499077","False","67492.24","67492.24"
"1774936800000","101193.33240986535","0.0000012165031839709294","0.01374143158444678","False","67629.67","67629.67"
"1774940400000","101193.33240986535","0.000015122311662923715","0.030059536868364985","False","67444.95","67444.95"
"1774944000000","101193.33240986535","0.000010750538329676564","0.041710547627278514","False","67311.18","67311.18"
"1774947600000","101193.33240986535","0.000008966822734172318","0.05176377114613278","False","66724.64","66724.64"
"1774951200000","101193.33240986535","0","0.04727709313350211","False","66067.07","66067.07"
"1774954800000","101193.33240986535","0.0000021724511150719205","0.04337075774130882","False","66310.9","66310.9"
"1774958400000","101193.33240986535","1.91802367760207E-07","0.042544494404452786","False","66634.58","66634.58"
"1774962000000","101193.33240986535","5.18961700325724E-07","0.04269448714677697","False","66605.24","66605.24"
"1774965600000","101193.33240986535","0.0000022230636932932486","0.043924679389579266","False","67233.28","67233.28"
"1774969200000","101193.33240986535","0.000004116083569305359","0.0318203356275916","False","66537.13","66537.13"
"1774972800000","101193.33240986535","0.0000026508259136554205","0.022938336349165398","False","66680.35","66680.35"
"1774976400000","101193.33240986535","0.000003586829893874035","0.01694184735330471","False","67614.23","67614.23"
"1774980000000","101193.33240986535","0.000006660812783261678","0.023895327603848295","False","67471.2","67471.2"
"1774983600000","101193.33240986535","0.000005360659468879071","0.02736488060085886","False","67797.41","67797.41"
"1774987200000","101193.33240986535","0.0000020597488978554637","0.029504147650874113","False","67795.61","67795.61"
"1774990800000","101193.33240986535","0.000002869191412982297","0.032004529082432495","False","68207.8","68207.8"
"1774994400000","101193.33240986535","0.0000019971096555954492","0.03200995629270829","False","68223.42","68223.42"
