date,value
2022-02-14,-0.05634527109439669
2022-02-15,-0.06316589692117536
2022-02-16,-0.058549021847658866
2022-02-17,-0.05212467724103187
2022-02-18,-0.046952236723108776
2022-02-22,-0.045693562850235736
2022-02-23,-0.05229583006344496
2022-02-24,-0.05225699531432049
2022-02-25,-0.05248283230821382
2022-02-28,-0.03871910963793057
2022-03-01,-0.028425536812910046
2022-03-02,-0.04901937657498212
2022-03-03,-0.04278711536934954
2022-03-04,-0.03053630608621094
2022-03-07,-0.03292241254151551
2022-03-08,-0.03508909383658776
2022-03-09,-0.0452187871432681
2022-03-10,-0.0521597032207195
2022-03-11,-0.05184618524259266
2022-03-14,-0.06732558590052262
2022-03-15,-0.07073197428594735
2022-03-16,-0.0662101298635529
2022-03-17,-0.06915743542204189
2022-03-18,-0.06461771846710107
2022-03-21,-0.0768056523048859
2022-03-22,-0.08449651023546434
2022-03-23,-0.07193799814424062
2022-03-24,-0.07552338837145711
2022-03-25,-0.08461621408674203
2022-03-28,-0.08320812593048632
2022-03-29,-0.0788223325081131
2022-03-30,-0.07347258984996596
2022-03-31,-0.07197429979973169
2022-04-01,-0.07307216998077903
2022-04-04,-0.0753656466795597
2022-04-05,-0.08863953903480548
2022-04-06,-0.09234032392379443
2022-04-07,-0.09536551275201421
2022-04-08,-0.10023266722667945
2022-04-11,-0.10701805408381704
2022-04-12,-0.1051290877754999
2022-04-13,-0.10310925656746572
2022-04-14,-0.1139052108209675
2022-04-18,-0.1161174325636285
2022-04-19,-0.1228602569676005
2022-04-20,-0.11248092049953662
2022-04-21,-0.11735845991988292
2022-04-22,-0.12107001898784497
2022-04-25,-0.11786548341429737
2022-04-26,-0.11195668307714657
2022-04-27,-0.11938996285584502
2022-04-28,-0.11850097325279507
2022-04-29,-0.12516696922753534
2022-05-02,-0.13462909003096935
2022-05-03,-0.13170831329865262
2022-05-04,-0.12707818481652555
2022-05-05,-0.140584510389692
2022-05-06,-0.14744640789476826
2022-05-09,-0.14273069189658472
2022-05-10,-0.13908291575133835
2022-05-11,-0.12983404148379707
2022-05-12,-0.13036244071485337
2022-05-13,-0.1377920104465159
2022-05-16,-0.13666225933256526
2022-05-17,-0.14376870463047553
2022-05-18,-0.13390046576007508
2022-05-19,-0.1311105505771516
2022-05-20,-0.1254771211530915
2022-05-23,-0.133130069253244
2022-05-24,-0.12269174197696053
2022-05-25,-0.120861470370067
2022-05-26,-0.12280635940510676
2022-05-27,-0.12144914476297597
2022-05-31,-0.13297942386750583
2022-06-01,-0.13459473766075092
2022-06-02,-0.1332317302533198
2022-06-03,-0.13522238490969996
2022-06-06,-0.14456584849572196
2022-06-07,-0.13910580428812813
2022-06-08,-0.14353819868033257
2022-06-09,-0.14278773400083
2022-06-10,-0.14723864641402007
2022-06-13,-0.16573416527464924
2022-06-14,-0.1730011580435027
2022-06-15,-0.16163650951439612
2022-06-16,-0.1563131595369599
2022-06-17,-0.15559303283521797
2022-06-21,-0.16343612325973367
2022-06-22,-0.1496412368111436
2022-06-23,-0.14552594417099274
2022-06-24,-0.15171683888573284
2022-06-27,-0.15644624008152141
2022-06-28,-0.15455538143099723
2022-06-29,-0.14673527105193118
2022-06-30,-0.1417551405114903
2022-07-01,-0.1349096348465858
2022-07-05,-0.1321643540721379
2022-07-06,-0.14195647173452686
2022-07-07,-0.14679174464794142
2022-07-08,-0.15256606054534738
2022-07-11,-0.1445143876823135
2022-07-12,-0.14181326647604642
2022-07-13,-0.13644666379488424
2022-07-14,-0.1416048582733107
2022-07-15,-0.13864861386535043
2022-07-18,-0.1433933889666591
2022-07-19,-0.14655949140978264
2022-07-20,-0.14626013095481416
2022-07-21,-0.13590700430038904
2022-07-22,-0.12623974232663038
2022-07-25,-0.1311817146350749
2022-07-26,-0.13096028120859926
2022-07-27,-0.13186625402131347
2022-07-28,-0.12552939689683418
2022-07-29,-0.12639644581896492
2022-08-01,-0.11536037490068551
2022-08-02,-0.12789826367562673
2022-08-03,-0.12061611779856896
2022-08-04,-0.11848408840803815
2022-08-05,-0.13257582552982528
2022-08-08,-0.12435656750344015
2022-08-09,-0.12658334833635176
2022-08-10,-0.1289518802584403
2022-08-11,-0.13974770376340417
2022-08-12,-0.13444479119253694
